"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-04-01 20:21:53.250000","90fd7ca0-a254-e911-a823-bb3187216d89",EWR-GVA-JFK,EWR,JFK,Return
"2019-11-13 03:28:24.170000",e8e0827c-ac05-ea11-a822-e453a8e76766,EWR-KEF-JFK,EWR,JFK,Return
"2019-05-01 06:30:08.610000",b13b1665-c16b-e911-a821-8111ee911e19,EWR-PEK-JFK,EWR,JFK,Return
"2019-12-17 00:17:34.387000",b86bdd73-4920-ea11-a822-e453a8e76766,EZE-FTE-AEP,EZE,AEP,Return
"2019-12-30 18:42:34.923000","3ed7dafb-1a2b-ea11-a822-e453a8e76766",EZE-FTE-AEP,EZE,AEP,Return
"2019-10-20 22:34:22.767000","7bb3139b-70f3-e911-a822-e453a8e76766",EZE-FTE-AEP,EZE,AEP,Return
"2019-11-07 09:15:10.153000",e5c8b2ed-2501-ea11-a822-e453a8e76766,EZE-IGR-AEP,EZE,AEP,Return
"2019-01-25 03:57:44.767000","32a85933-3c20-e911-a820-a7f2c9e35195",EZE-IGR-AEP,EZE,AEP,Return
"2019-01-22 14:35:03.640000","27de0ebc-391e-e911-a820-a7f2c9e35195",GMP-PEK-ICN,GMP,ICN,Return
"2019-10-08 05:37:36.907000","57013c96-74e9-e911-a822-e453a8e76766",GRU-SDU-CGH,GRU,CGH,Return
"2019-08-22 18:57:19.313000","0be08c84-f5c4-e911-a821-8111ee911e19",HND-SIN-NRT,HND,NRT,Return
"2019-03-20 15:05:11.640000","6d9d3b68-084b-e911-a820-a7f2c9e35195",JFK-GVA-EWR,JFK,EWR,Return
"2019-05-26 15:25:00.673000","722b1247-b17f-e911-a821-8111ee911e19",LCY-AMS-LHR,LCY,LHR,Return
"2019-05-06 12:57:24.407000","35723b56-e56f-e911-a821-8111ee911e19",LGW-AMS-LHR,LGW,LHR,Return
"2019-08-30 12:27:27.953000","9d4ee45e-08cb-e911-a821-8111ee911e19",LGW-DXB-LHR,LGW,LHR,Return
"2019-09-25 21:55:35.720000",dff2460d-c6df-e911-a822-e453a8e76766,LGW-DXB-LHR,LGW,LHR,Return
"2019-09-23 05:30:59.313000","835b0b2d-aadd-e911-a822-e453a8e76766",LGW-DXB-STN,LGW,STN,Return
"2019-08-19 08:40:35.390000",c77f3ada-43c2-e911-a821-8111ee911e19,LGW-DXB-STN,LGW,STN,Return
"2019-01-27 17:34:19.437000","0e78b8a0-4022-e911-a820-a7f2c9e35195",LGW-IST-LHR,LGW,LHR,Return
"2019-01-13 15:27:58.577000","3198a8a4-2e17-e911-a820-a7f2c9e35195",LGW-IST-LHR,LGW,LHR,Return
"2019-12-20 17:26:27.787000","7304c7b3-3423-ea11-a822-e453a8e76766",LGW-IST-LHR,LGW,LHR,Return
